genes,Symbol,logFC,unshrunk.logFC,logCPM,PValue,FDR
SERPINA9,NA,8.5795466,8.761292483,3.347819719,6.38E-37,1.31E-33
IGLL1,NA,7.572212479,8.098295216,1.014251096,1.00E-17,2.17E-15
LCN1,NA,5.88018124,6.386900065,-0.482634693,2.70E-10,2.32E-08
TCL1A,NA,5.493941055,5.522513971,2.859958586,6.05E-37,1.31E-33
MYBPH,NA,5.430459638,5.719066912,-0.25754744,4.21E-17,8.40E-15
CLEC17A,NA,4.765407541,4.805764921,1.657588118,5.13E-34,7.02E-31
FCER2,NA,4.738833615,4.761617761,2.435459028,1.45E-33,1.85E-30
DGKK,NA,4.730493816,5.088806218,-1.07954067,1.26E-05,0.000560387
FCRLA,NA,4.504968977,4.514062924,3.507090305,3.12E-40,1.28E-36
VPREB3,NA,4.479857685,4.491997449,3.070471311,3.44E-35,6.42E-32
FCRL1,NA,4.411732329,4.434561936,2.110731846,1.11E-27,6.31E-25
CXCR5,NA,4.386442127,4.395497493,3.39475168,2.14E-46,1.47E-42
MS4A1,NA,4.360138138,4.362493063,5.29959377,1.15E-30,8.18E-28
HAO1,NA,4.321298104,4.822647568,-1.691166809,1.15E-07,7.08E-06
CD19,NA,4.216682903,4.227817577,2.932205654,2.44E-38,7.14E-35
FAM129C,NA,4.21050355,4.235638932,1.775966003,1.95E-26,1.03E-23
CD79B,NA,4.170794466,4.17595279,3.984329275,1.35E-46,1.39E-42
BLK,NA,4.103952877,4.113915977,2.978171397,8.73E-32,7.57E-29
CR2,NA,4.087019972,4.088763647,5.45789747,5.73E-22,2.06E-19
RGS13,NA,4.086799332,4.101341007,2.426160123,5.65E-22,2.06E-19
CD79A,NA,3.971260637,3.97197352,6.629682561,3.59E-33,3.68E-30
CD22,NA,3.921745199,3.924842349,4.466263588,1.73E-33,2.09E-30
CCL19,NA,3.921188656,3.924217974,4.497534557,5.88E-29,3.55E-26
RHOXF2B,NA,3.918039888,4.041026464,-0.563470457,9.69E-13,1.13E-10
MEF2B,NA,3.841839021,3.846709575,3.737647158,4.04E-31,3.07E-28
ATP4A,NA,3.737863136,3.738560361,6.426309433,3.97E-06,0.000195121
TNFRSF13B,NA,3.728545797,3.747887553,1.674146607,3.92E-27,2.18E-24
PDILT,NA,3.719297679,3.801176867,-0.2577879,5.43E-08,3.54E-06
TLR10,NA,3.685828158,3.694813417,2.708592485,2.16E-31,1.70E-28
TNFRSF13C,NA,3.636213046,3.649274561,2.131403099,2.08E-30,1.38E-27
PRB4,NA,3.51927455,4.201275911,-2.385248884,5.79E-08,3.76E-06
SPIB,NA,3.480477446,3.482676315,4.513612891,2.48E-17,5.10E-15
FCRL2,NA,3.466460392,3.481679721,1.747487035,4.08E-24,1.86E-21
FCRL3,NA,3.463065914,3.472178907,2.465574979,9.58E-27,5.18E-24
NOX3,NA,3.40532748,5.069497366,-2.800561731,0.000194224,0.006612621
RTL1,NA,3.366276023,3.390496429,1.012895465,6.90E-08,4.43E-06
C4orf7,NA,3.331978108,3.333729834,4.689145775,5.36E-11,5.17E-09
