"genes","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"TBC1D10C",NA,2.94181414998838,2.94522959707153,3.33432744937973,6.5195104794265e-47,1.33845550142626e-42
"CD79B",NA,4.17079446613081,4.17595279040103,3.98432927510917,1.35319169345201e-46,1.38905127332849e-42
"CXCR5",NA,4.38644212651383,4.39549749292404,3.39475168048282,2.14163654106612e-46,1.46559327293625e-42
"PTPRCAP",NA,3.26915034941023,3.27017339447261,5.39873610036815,4.40627375851826e-42,2.2615200065595e-38
"FCRLA",NA,4.50496897711574,4.51406292419101,3.5070903054494,3.11541287014579e-40,1.27918852448186e-36
"ACAP1",NA,2.6624085423731,2.66484274275041,3.5296003698223,1.11065039775745e-39,3.80027544432674e-36
"CD19",NA,4.21668290262796,4.22781757746268,2.93220565398697,2.43544085168454e-38,7.14280009786908e-35
"CORO1A",NA,2.55881251359504,2.5591122420444,6.43097100639126,2.42364886059776e-37,6.21968888850899e-34
"TCL1A",NA,5.4939410552922,5.52251397123041,2.85995858580083,6.05118784499781e-37,1.31072009764211e-33
"SERPINA9",NA,8.57954660001251,8.7612924829895,3.34781971886793,6.38441352967419e-37,1.31072009764211e-33
"VPREB3",NA,4.47985768534112,4.49199744850515,3.07047131123073,3.44204147096846e-35,6.42410103627114e-32
"CCR7",NA,3.1928283074056,3.19564553163601,3.86597528409883,4.19873211251647e-35,7.18333085583026e-32
"SIT1",NA,3.00561384149061,3.01017705947368,2.98677910541509,5.23884595245211e-35,8.27334672337245e-32
"MAP4K1",NA,2.98798076872938,2.99031403577008,3.92684696647842,6.00678820537174e-35,8.80852584687728e-32
"CLEC17A",NA,4.76540754083909,4.80576492068192,1.6575881180187,5.12994539887064e-34,7.02118526925429e-31
"FCER2",NA,4.73883361527774,4.76161776067273,2.4354590275959,1.44506422739298e-33,1.85419803677362e-30
"CD22",NA,3.92174519882593,3.92484234850401,4.46626358817737,1.73249119626002e-33,2.09223789760107e-30
"CD37",NA,2.84392151056478,2.84443046659889,5.96674551950125,1.98557768203391e-33,2.26466165623089e-30
